Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
10,5.658775806427002,4.587475419044495,1.1594273447990417,10,-25.877995097736033,0,0.0,0.0,0.0,1,-0.0
12,8.223418235778809,7.774084031581879,0.949241327387946,14,-28.196429395666666,6,0.3986053466796875,0.09467649459838867,2.195346554120382,3,1.0964764147874042
10,6.529967784881592,5.943760335445404,1.0760668367147446,10,-24.82037233786516,2,0.35843634605407715,0.35843634605407715,3.2275017499923706,1,0.36775719317325195
9,6.898834228515625,6.325978457927704,1.2269886553287506,10,-32.80245705526627,0,0.0,0.0,0.0,1,-0.0
14,3.929291248321533,3.1669633984565735,0.8621206512053807,15,-20.20722467487691,2,0.7519495487213135,0.7519495487213135,3.2782713174819946,1,0.2143703240998302
9,5.1887898445129395,4.691621333360672,1.0935422107577324,11,-26.618141843411987,0,0.0,0.0,0.0,1,-0.0
9,6.049304962158203,5.749401479959488,1.0764082629572262,11,-26.90677014608608,0,0.0,0.0,0.0,1,-0.0
10,7.628580570220947,7.321972727775574,1.000501342690908,13,-29.71874005947994,0,0.0,0.0,0.0,1,-0.0
10,6.388274669647217,5.452663242816925,1.1811909093098207,11,-31.735577562037022,2,0.4843440055847168,0.4843440055847168,8.08040165901184,1,0.35112996692956083
11,7.371865749359131,6.565907895565033,1.0531032737344503,12,-30.30809917069739,0,0.0,0.0,0.0,1,-0.0
10,7.119862079620361,6.598099172115326,1.1108932806686922,11,-30.56474183477343,0,0.0,0.0,0.0,1,-0.0
10,7.948073387145996,7.5006018579006195,0.9484051385273536,12,-26.785462746697004,0,0.0,0.0,0.0,1,-0.0
11,5.89235258102417,5.25672322511673,1.1091106794774532,12,-29.749843123747162,2,0.418001651763916,0.418001651763916,6.710032224655151,1,0.36461025674247005
10,6.514864444732666,5.842513740062714,1.2000237375497818,10,-29.860633358850524,0,0.0,0.0,0.0,1,-0.0
11,4.628530502319336,4.288876414299011,0.949818420295532,13,-23.78823556183417,2,0.19362258911132812,0.19362258911132812,4.869648456573486,1,0.31789816967449847
12,4.801021099090576,4.246988236904144,0.8728675676079897,13,-20.284454563633325,2,0.18313074111938477,0.18313074111938477,4.988839864730835,1,0.3108744957792102
9,6.640496730804443,6.1801735162734985,1.0063903629779816,11,-25.470635574641136,0,0.0,0.0,0.0,1,-0.0
11,4.300825119018555,3.163741111755371,1.060849433595484,11,-22.04209167652132,2,1.0100154876708984,1.0100154876708984,6.142812728881836,1,-0.010065476158793697
10,5.909823417663574,5.450168699026108,1.045871512343486,12,-26.393295457268948,2,0.34624671936035156,0.34624671936035156,2.8991482257843018,1,0.3672305502843067
11,8.352249145507812,7.821790635585785,1.001507746676604,12,-31.848738852339036,4,0.04008150100708008,0.0028130412101745605,0.9773799329996109,2,0.25153440990171205
11,6.994724273681641,6.44568544626236,1.1209559440612793,11,-28.09597776301661,0,0.0,0.0,0.0,1,-0.0
10,5.201757431030273,4.303065717220306,1.1319446861743927,10,-24.040234049711216,0,0.0,0.0,0.0,1,-0.0
13,5.218626499176025,4.665774345397949,0.9097290996994291,14,-23.752551625594652,0,0.0,0.0,0.0,1,-0.0
11,4.808450698852539,4.325408428907394,0.9165313599201349,13,-22.86005752702561,0,0.0,0.0,0.0,1,-0.0
14,6.049201488494873,5.32881087064743,0.8429329501731055,14,-20.105277293833794,0,0.0,0.0,0.0,1,-0.0
