Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
8,77.1576156616211,62.70673656463623,13.055827289819717,8,-758.5102812650289,0,0.0,0.0,0.0,1,-0.0
12,72.94564819335938,70.07245779037476,9.552979558706284,12,-830.1276595954772,0,0.0,0.0,0.0,1,-0.0
8,58.457313537597656,51.508098125457764,13.007831066846848,8,-767.951049176663,0,0.0,0.0,0.0,1,-0.0
9,71.1641845703125,62.57642841339111,16.403963029384613,9,-1146.3893577821889,0,0.0,0.0,0.0,1,-0.0
13,84.74478149414062,78.6972131729126,10.470262234027569,13,-972.719846229337,0,0.0,0.0,0.0,1,-0.0
9,80.84925842285156,70.09137344360352,13.002912468380398,9,-863.575155004258,0,0.0,0.0,0.0,1,-0.0
9,96.5219497680664,87.74183654785156,14.901693913671705,9,-1057.5392923267264,0,0.0,0.0,0.0,1,-0.0
11,73.71349334716797,70.43020176887512,10.630550097335469,11,-851.392390043126,0,0.0,0.0,0.0,1,-0.0
8,54.289852142333984,34.98893165588379,13.90725764632225,8,-801.7048505474169,0,0.0,0.0,0.0,1,-0.0
10,84.03113555908203,74.41250801086426,12.155525374412537,10,-906.501246986927,0,0.0,0.0,0.0,1,-0.0
10,47.229068756103516,32.42453193664551,11.747160530090332,10,-791.3008035580295,0,0.0,0.0,0.0,1,-0.0
10,58.166019439697266,50.436845779418945,12.39133632183075,10,-877.5213501008138,0,0.0,0.0,0.0,1,-0.0
10,131.08876037597656,127.03552532196045,13.590864837169647,10,-1098.6912627378188,0,0.0,0.0,0.0,1,-0.0
8,77.70987701416016,66.98910427093506,14.328396022319794,8,-855.1704505671278,0,0.0,0.0,0.0,1,-0.0
11,82.58567810058594,74.86443901062012,11.490544991059737,11,-888.3958159616362,2,3.3662052154541016,3.3662052154541016,21.802239418029785,1,-4.085852969313514
10,117.69107818603516,107.5710563659668,13.508792519569397,10,-1032.883788400654,0,0.0,0.0,0.0,1,-0.0
9,100.91825103759766,96.65052938461304,14.975352909829882,9,-1088.881434381257,0,0.0,0.0,0.0,1,-0.0
9,68.08192443847656,60.31306171417236,12.839780675040352,9,-849.9411393254319,2,8.0518798828125,8.0518798828125,74.41075134277344,1,-16.79546125752849
10,78.64875793457031,69.92717742919922,12.498505592346191,10,-896.4217991379204,0,0.0,0.0,0.0,1,-0.0
10,74.7127685546875,68.38488864898682,12.43945324420929,10,-915.4278565531304,0,0.0,0.0,0.0,1,-0.0
10,72.89559936523438,61.52456188201904,14.814044964313506,10,-1107.5368600625393,2,4.624822616577148,4.624822616577148,25.828104972839355,1,-7.0826291772684
8,57.09249496459961,46.209516525268555,14.880079567432404,8,-884.6969947174796,0,0.0,0.0,0.0,1,-0.0
12,83.00370788574219,79.1963415145874,10.349583501617113,12,-910.0663578706495,0,0.0,0.0,0.0,1,-0.0
9,96.91878509521484,84.61197280883789,17.949154959784615,9,-1285.8763162661235,0,0.0,0.0,0.0,1,-0.0
12,93.07638549804688,89.86301064491272,9.566341653466225,12,-829.506514785821,0,0.0,0.0,0.0,1,-0.0
11,67.5367202758789,58.71603870391846,14.63421106338501,11,-1186.2500253126602,0,0.0,0.0,0.0,1,-0.0
10,79.98902130126953,67.8396635055542,11.615996813774109,10,-817.8186927310768,0,0.0,0.0,0.0,1,-0.0
11,85.04769134521484,73.71927833557129,13.546095848083496,11,-1105.2201525173266,2,1.2069435119628906,1.2069435119628906,20.891172409057617,1,-0.22701538197496676
9,103.91602325439453,99.02927017211914,14.047534750567543,9,-1053.1284963393846,0,0.0,0.0,0.0,1,-0.0
10,119.669189453125,118.43205511569977,15.112535154819488,10,-1271.333938059127,0,0.0,0.0,0.0,1,-0.0
9,91.90379333496094,84.01532649993896,14.24223698510064,9,-986.6242483766208,0,0.0,0.0,0.0,1,-0.0
10,89.24762725830078,85.72475099563599,15.239340496063232,10,-1195.6230570795635,0,0.0,0.0,0.0,1,-0.0
9,80.31953430175781,68.15299606323242,15.142128255632189,9,-1029.8117229243844,0,0.0,0.0,0.0,1,-0.0
11,88.62129211425781,83.80950355529785,11.544881820678711,11,-941.5513260618371,0,0.0,0.0,0.0,1,-0.0
9,114.96363830566406,109.1174955368042,16.767218775219387,9,-1247.7058189574216,0,0.0,0.0,0.0,1,-0.0
9,71.15365600585938,59.85483741760254,14.919614791870117,9,-998.1343057464273,0,0.0,0.0,0.0,1,-0.0
11,63.79954147338867,55.57101821899414,10.626048456538808,11,-797.6792746226681,0,0.0,0.0,0.0,1,-0.0
9,87.57374572753906,76.37659549713135,11.96591321627299,9,-782.9348252879154,2,0.7382373809814453,0.7382373809814453,18.152432441711426,1,0.22404755314020713
11,88.25872039794922,80.23025321960449,12.12143239107999,11,-967.0853527246711,2,0.37599945068359375,0.37599945068359375,15.131192207336426,1,0.3677904788759819
10,92.9208984375,86.62007904052734,10.228938913345337,10,-737.0020719168984,0,0.0,0.0,0.0,1,-0.0
10,150.7557373046875,142.99132013320923,18.32972695827484,10,-1538.4139561924903,2,0.5303535461425781,0.5303535461425781,34.458879470825195,1,0.3363562790192302
11,62.828006744384766,56.80114507675171,11.080037973143838,11,-852.2681022179152,0,0.0,0.0,0.0,1,-0.0
9,72.2943115234375,66.11929941177368,12.571221417850918,9,-834.923216863248,0,0.0,0.0,0.0,1,-0.0
10,99.54619598388672,89.54073333740234,14.681454467773438,10,-1115.3667082020052,0,0.0,0.0,0.0,1,-0.0
10,68.15211486816406,58.25198268890381,13.636345696449279,10,-993.182871246519,0,0.0,0.0,0.0,1,-0.0
9,98.48199462890625,90.64495754241943,11.901315477159288,9,-808.4195234629055,0,0.0,0.0,0.0,1,-0.0
11,93.765625,85.5852861404419,13.473258820447056,11,-1123.8844732081925,2,3.1849002838134766,3.1849002838134766,29.563164710998535,1,-3.6894553095717657
10,84.21715545654297,74.02150249481201,18.748157596588136,10,-1472.8164655249984,0,0.0,0.0,0.0,1,-0.0
10,81.77252197265625,72.12067031860352,12.753570532798767,10,-927.7778164855551,0,0.0,0.0,0.0,1,-0.0
8,98.16455078125,95.94499588012695,14.472532495856285,8,-921.1998057023003,0,0.0,0.0,0.0,1,-0.0
9,87.06072235107422,73.55881786346436,15.088404761420357,9,-1035.0887582574367,2,0.2366809844970703,0.2366809844970703,30.2103910446167,1,0.3410672632012824
10,75.01952362060547,69.191171169281,12.649681663513183,10,-940.0242726809129,0,0.0,0.0,0.0,1,-0.0
9,54.45549011230469,45.13045120239258,13.297695106930203,9,-865.7730196560864,0,0.0,0.0,0.0,1,-0.0
10,134.23699951171875,128.7917079925537,16.847045373916625,10,-1385.2597047906797,0,0.0,0.0,0.0,1,-0.0
10,92.62933349609375,83.6310863494873,13.693789315223693,10,-1024.9066249784096,0,0.0,0.0,0.0,1,-0.0
9,68.1830825805664,59.34914588928223,13.13429880142212,9,-878.9781498084942,0,0.0,0.0,0.0,1,-0.0
8,64.20307159423828,51.19862461090088,14.583662360906601,8,-862.674309360316,0,0.0,0.0,0.0,1,-0.0
9,74.25206756591797,62.72575759887695,14.051073723369175,9,-934.1281793946878,0,0.0,0.0,0.0,1,-0.0
11,72.0940170288086,65.96844005584717,13.1752658107064,11,-1067.6521145739057,0,0.0,0.0,0.0,1,-0.0
10,99.47286987304688,96.30630135536194,11.725943446159363,10,-915.6258037279865,0,0.0,0.0,0.0,1,-0.0
9,99.23950958251953,92.41385746002197,14.976530737347073,9,-1062.2122600831165,0,0.0,0.0,0.0,1,-0.0
14,103.61366271972656,95.98487949371338,9.58938319342477,14,-939.3240572152955,0,0.0,0.0,0.0,1,-0.0
12,55.522850036621094,49.63326930999756,9.911847213904062,12,-791.1114755676542,0,0.0,0.0,0.0,1,-0.0
10,78.20616912841797,67.48395347595215,14.905161988735198,10,-1126.7299930026586,0,0.0,0.0,0.0,1,-0.0
12,134.2100067138672,130.19295167922974,14.181686997413635,12,-1385.7809934981933,0,0.0,0.0,0.0,1,-0.0
11,51.54861068725586,42.07219696044922,12.863243146376176,11,-991.5882048409112,0,0.0,0.0,0.0,1,-0.0
