Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
6,15.974031448364258,15.861952617764473,1.5466145150363446,10,-63.89859005702976,0,0.0,0.0,0.0,1,-0.0
10,15.072515487670898,14.922773450613022,1.1337197893964392,14,-55.637549088688004,0,0.0,0.0,0.0,1,-0.0
6,16.40895652770996,16.26552875339985,1.5458655696362258,10,-67.0885333111147,2,0.07063484191894531,0.07063484191894531,0.6938080191612244,1,0.18719870022980065
5,16.576160430908203,16.302287817001343,1.5440021999180318,10,-68.82836390008057,0,0.0,0.0,0.0,1,-0.0
9,15.002110481262207,14.69104790687561,1.0531579002737999,15,-54.40229700946803,0,0.0,0.0,0.0,1,-0.0
8,16.01047134399414,15.80535800755024,1.449767257002267,11,-64.46999271856126,0,0.0,0.0,0.0,1,-0.0
7,16.777511596679688,16.677729703485966,1.4380482516505502,11,-68.9586146453077,0,0.0,0.0,0.0,1,-0.0
10,15.576411247253418,15.37261113524437,1.2277473801603684,13,-57.18056334971155,0,0.0,0.0,0.0,1,-0.0
9,15.900766372680664,15.45890673995018,1.4023504203016108,11,-58.057624819861374,0,0.0,0.0,0.0,1,-0.0
8,14.757678985595703,14.667832538485527,1.320982857607305,12,-60.71338775351585,0,0.0,0.0,0.0,1,-0.0
10,16.34833335876465,15.832724392414093,1.4849479733542963,11,-61.04655129617518,0,0.0,0.0,0.0,1,-0.0
9,15.775464057922363,15.562263861298561,1.3098568841814995,12,-60.05694613677775,0,0.0,0.0,0.0,1,-0.0
7,14.785970687866211,14.602966219186783,1.2946319282054901,12,-57.44397948519087,0,0.0,0.0,0.0,1,-0.0
7,16.321252822875977,16.10165563225746,1.5248001031577587,10,-64.94879594959157,0,0.0,0.0,0.0,1,-0.0
6,15.574895858764648,15.34693357348442,1.2126627558699021,13,-64.03362379351384,0,0.0,0.0,0.0,1,-0.0
9,16.0192813873291,15.716082781553268,1.2009082172925656,13,-57.84838285331792,0,0.0,0.0,0.0,1,-0.0
8,16.155271530151367,15.873478710651398,1.4360403404994444,11,-64.570466392698,0,0.0,0.0,0.0,1,-0.0
6,16.142749786376953,15.963565304875374,1.3828740946271203,11,-60.18586534770462,0,0.0,0.0,0.0,1,-0.0
11,15.374634742736816,14.778567850589752,1.3876309432089329,12,-62.80615549722605,0,0.0,0.0,0.0,1,-0.0
8,16.111337661743164,15.872357815504074,1.249150924384594,12,-56.695009556610316,0,0.0,0.0,0.0,1,-0.0
7,16.024015426635742,15.845020353794098,1.395455157214945,11,-63.26276252729275,0,0.0,0.0,0.0,1,-0.0
10,16.178382873535156,15.594115555286407,1.5893070876598359,10,-64.53498696229708,0,0.0,0.0,0.0,1,-0.0
12,15.752219200134277,15.373591482639313,1.2325004301965237,14,-62.33459975816951,0,0.0,0.0,0.0,1,-0.0
12,16.17412757873535,15.577599585056305,1.323298291518138,13,-59.45630016114481,0,0.0,0.0,0.0,1,-0.0
9,15.137025833129883,14.918873697519302,1.142206518245595,14,-56.68235957147298,0,0.0,0.0,0.0,1,-0.0
10,15.439423561096191,15.301518261432648,1.1862997298057263,13,-52.76475814549381,0,0.0,0.0,0.0,1,-0.0
5,16.74372673034668,16.615658342838287,1.442527336153117,11,-70.20091124078881,0,0.0,0.0,0.0,1,-0.0
10,15.613628387451172,15.283692359924316,1.1275081085662046,15,-56.573985240940374,0,0.0,0.0,0.0,1,-0.0
8,15.223543167114258,15.004533663392067,1.4434944899244742,11,-62.90087806190806,0,0.0,0.0,0.0,1,-0.0
9,14.72391128540039,14.427058219909668,1.3471251937250297,12,-58.67091671417229,0,0.0,0.0,0.0,1,-0.0
7,15.558958053588867,15.375426948070526,1.4382156499407508,11,-62.83054200859564,0,0.0,0.0,0.0,1,-0.0
8,16.4608154296875,16.123408913612366,1.2533574941066594,13,-63.22703539400486,0,0.0,0.0,0.0,1,-0.0
8,16.09102439880371,15.797101467847824,1.5247674496336416,11,-64.47777889282182,0,0.0,0.0,0.0,1,-0.0
9,15.497917175292969,15.35579825937748,1.1600260770378203,13,-54.960189445683085,0,0.0,0.0,0.0,1,-0.0
11,15.801717758178711,15.245659172534943,1.5066437396136196,11,-60.155566375559324,0,0.0,0.0,0.0,1,-0.0
8,15.57086181640625,15.329309269785881,1.4290228611366316,11,-58.120007440942246,0,0.0,0.0,0.0,1,-0.0
8,15.805338859558105,15.652162671089172,1.234293188326634,13,-62.62992749886743,0,0.0,0.0,0.0,1,-0.0
8,16.257320404052734,15.91805636882782,1.3424209570512176,12,-66.09091259038797,0,0.0,0.0,0.0,1,-0.0
7,15.50044059753418,15.304089069366455,1.215391796368819,13,-59.780594976136186,1,0.17901960015296936,0.0,0.5497244447469711,1,-0.0
7,14.89597225189209,14.689215034246445,1.3099374718343217,12,-62.180372951252686,0,0.0,0.0,0.0,1,-0.0
7,15.947027206420898,15.745880097150803,1.4551852650263093,11,-65.03131335572229,0,0.0,0.0,0.0,1,-0.0
9,15.189175605773926,14.899530500173569,1.1757900461267967,13,-56.06202674508775,0,0.0,0.0,0.0,1,-0.0
8,16.139007568359375,15.902055233716965,1.442860751666806,11,-67.41761555614373,0,0.0,0.0,0.0,1,-0.0
9,15.981416702270508,15.792366743087769,1.1699026003479958,14,-63.35992634681487,0,0.0,0.0,0.0,1,-0.0
9,15.62526798248291,15.308022022247314,1.3126065855224927,12,-62.05293159435801,0,0.0,0.0,0.0,1,-0.0
8,15.745792388916016,15.384189397096634,1.3421715299288433,12,-61.84201592054008,0,0.0,0.0,0.0,1,-0.0
8,15.124344825744629,14.945704072713852,1.1739776177065713,14,-59.77488781224344,0,0.0,0.0,0.0,1,-0.0
8,16.12447166442871,15.741886019706726,1.4855411689389835,11,-65.56236102831119,0,0.0,0.0,0.0,1,-0.0
8,15.43480396270752,15.20698107779026,1.2011290817306592,13,-57.14384466112872,0,0.0,0.0,0.0,1,-0.0
9,15.917747497558594,15.296420693397522,1.5403008103370666,10,-59.603553826170014,0,0.0,0.0,0.0,1,-0.0
8,15.717723846435547,15.552511125802994,1.4099529670043425,11,-62.16097230179656,0,0.0,0.0,0.0,1,-0.0
8,15.430890083312988,15.291750818490982,1.3063976978883147,12,-62.252926717819136,0,0.0,0.0,0.0,1,-0.0
9,15.992101669311523,15.57207641005516,1.4550331309437752,11,-64.19303407216506,2,0.0633346438407898,0.0633346438407898,0.5991481840610504,1,0.17476072690022892
9,15.803316116333008,15.415250599384308,1.4363312755118718,11,-59.62029210485247,0,0.0,0.0,0.0,1,-0.0
9,15.949772834777832,15.575633615255356,1.3249013001720111,12,-55.56187692052528,0,0.0,0.0,0.0,1,-0.0
5,16.268980026245117,16.095054268836975,1.5313976287841797,10,-66.26989559390356,0,0.0,0.0,0.0,1,-0.0
7,16.011669158935547,15.801872417330742,1.5467789225280284,10,-64.05313108339087,0,0.0,0.0,0.0,1,-0.0
5,16.120731353759766,15.949638023972511,1.4968941036611796,10,-64.62324515185622,0,0.0,0.0,0.0,1,-0.0
9,15.573266983032227,15.46169001609087,1.1777561132151346,13,-55.59758017141752,0,0.0,0.0,0.0,1,-0.0
6,15.538104057312012,15.396673381328583,1.3047133640696604,12,-62.74113292852127,0,0.0,0.0,0.0,1,-0.0
11,15.944679260253906,15.240691304206848,1.4365351895491283,12,-58.51409619659945,0,0.0,0.0,0.0,1,-0.0
10,15.219852447509766,14.972162619233131,1.0778390591343243,15,-52.919649747384646,0,0.0,0.0,0.0,1,-0.0
9,15.52466106414795,15.443182833492756,1.1115827467292547,14,-59.390086537212134,0,0.0,0.0,0.0,1,-0.0
10,15.794516563415527,15.315199226140976,1.3559594353040059,12,-61.2682364614351,0,0.0,0.0,0.0,1,-0.0
10,14.66754150390625,14.341590076684952,1.1625034197100572,14,-56.704906541110965,2,0.0008251667022705078,0.0008251667022705078,0.9012619256973267,1,0.005858621704803241
8,15.568868637084961,15.378326162695885,1.1817351751295584,14,-59.36557335433514,0,0.0,0.0,0.0,1,-0.0
6,15.6673583984375,15.44467943906784,1.2974077498850722,12,-63.700101532468054,0,0.0,0.0,0.0,1,-0.0
9,16.594013214111328,16.0804363489151,1.5583300318568944,10,-64.92219470443717,0,0.0,0.0,0.0,1,-0.0
6,16.494905471801758,16.35940347611904,1.3226191497718294,12,-69.07364074792491,0,0.0,0.0,0.0,1,-0.0
8,16.25467300415039,16.086900502443314,1.2403857736633375,13,-60.154833472533014,0,0.0,0.0,0.0,1,-0.0
8,15.786465644836426,15.474535524845123,1.3731163845707972,12,-64.0070411845484,0,0.0,0.0,0.0,1,-0.0
10,15.344255447387695,14.829422771930695,1.4030928056348453,11,-57.23738369845975,0,0.0,0.0,0.0,1,-0.0
