Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
21,3.1626832485198975,2.9146083295345306,0.6022729763388633,25,-12.43661320675576,4,0.6911518573760986,0.0,2.435092270374298,2,0.5122918746112908
22,2.376837730407715,2.0162258744239807,0.528677232839443,27,-6.730433167666284,4,0.2143855094909668,0.18279314041137695,3.28187096118927,2,0.4392958463472469
17,2.92020320892334,2.683906629681587,0.5187492014273353,23,-7.801086425766569,4,0.43094301223754883,0.22497892379760742,2.322271943092346,2,0.6881932278170778
23,3.6669270992279053,3.4852425009012222,0.31999107641054364,41,3.829331309548687,6,0.36140692234039307,0.0,1.3284716606140137,3,0.910536111174581
21,2.0250673294067383,1.8203016519546509,0.41512368246912956,30,-0.6894130962610676,6,0.17990171909332275,0.0,1.699796160062154,3,0.6296303661694287
15,2.7364258766174316,2.418874740600586,0.5420196084749132,21,-7.041463438792071,0,0.0,0.0,0.0,1,-0.0
20,2.5809738636016846,2.4601911827921867,0.40343521162867546,31,-0.8719204239190956,6,0.3727964162826538,0.0,1.4859023888905842,3,0.9590447138545588
13,4.623857498168945,4.183516651391983,0.7738872225085894,15,-17.703681093301014,0,0.0,0.0,0.0,1,-0.0
18,5.43698787689209,5.150495409965515,0.5033279821897546,24,-9.524222175134017,2,0.07270050048828125,0.07270050048828125,1.206282138824463,1,0.1905776015229121
20,2.0926365852355957,1.778304547071457,0.5139798265695572,25,-5.725802440388936,4,0.1035163402557373,0.0058231353759765625,2.1871837973594666,2,0.4620046292810002
19,3.0682871341705322,2.6655331552028656,0.6319941424510696,22,-11.589209243733022,2,0.7507803440093994,0.7507803440093994,2.922489047050476,1,0.2152052953941579
23,3.1263558864593506,2.753255993127823,0.4864285323354933,27,-5.005306732725926,2,0.502711296081543,0.502711296081543,3.966932773590088,1,0.3457342834580503
16,3.3033971786499023,2.8959811329841614,0.6386168399139455,19,-11.475906141184606,4,0.21961331367492676,0.0,2.5104562640190125,2,0.5709650447071852
23,3.3772366046905518,3.1911427080631256,0.5077140904192267,29,-7.143374290293773,2,0.6317257881164551,0.6317257881164551,2.3646702766418457,1,0.29015156502479506
18,2.5365350246429443,2.244700640439987,0.5435811045269171,24,-8.33439816141038,4,0.5270838737487793,0.47122132778167725,1.8594063222408295,2,0.49869787619195244
19,2.819614887237549,2.1874282360076904,0.7034749561234525,19,-13.309049095931545,0,0.0,0.0,0.0,1,-0.0
21,3.2140495777130127,3.0588393956422806,0.46456667482852937,30,-6.320468209244842,4,0.3023369312286377,0.0,2.1342006574074426,3,0.6812924351359866
20,4.47580623626709,4.408085957169533,0.3812419814302733,38,-5.9019700219151385,2,0.0834587812423706,0.0834587812423706,1.7652179598808289,1,0.20726173810760928
27,2.6905534267425537,2.3047254979610443,0.4619696596637368,32,-2.178927868894002,6,0.19198274612426758,0.1901228427886963,1.9629919528961182,3,0.5164042098158793
25,1.7895090579986572,1.6834800690412521,0.3868057128145463,36,1.018355451457136,8,0.5138102769851685,0.0,1.73257677257061,4,1.025650159817488
24,2.9862542152404785,2.714207261800766,0.4911651622969657,32,-8.046392546235841,8,0.36055636405944824,0.0,1.9917515590786934,4,0.9326068323875758
11,4.221115589141846,3.8345822393894196,0.8708285330129522,14,-21.66974299328164,2,0.2516862154006958,0.2516862154006958,1.8639158606529236,1,0.34721929177840694
17,2.7818307876586914,2.506803721189499,0.5059954351322218,22,-6.012776996047032,0,0.0,0.0,0.0,1,-0.0
23,3.015367031097412,2.772870346903801,0.4769050749865445,33,-6.25427599828563,6,0.48675084114074707,0.31507885456085205,1.534361223379771,3,0.6576521641301948
22,2.2907207012176514,2.1881956681609154,0.43774708894391856,30,-2.077724318283977,4,0.19601917266845703,0.14427775144577026,1.0528568128744762,3,0.5963680340664506
