Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
5,8.845490455627441,8.773192636668682,0.33653835114091635,22,-14.313490786334354,0,0.0,0.0,0.0,1,-0.0
5,8.991914749145508,8.897924192249775,0.3282966572791338,25,-15.268034327509394,0,0.0,0.0,0.0,1,-0.0
4,8.493541717529297,8.44650499150157,0.3293345947528169,21,-12.578006900573518,0,0.0,0.0,0.0,1,-0.0
4,8.515510559082031,8.483512803912163,0.21935806956485307,38,-7.641890218677549,0,0.0,0.0,0.0,1,-0.0
5,8.47488021850586,8.405768610537052,0.2542574748929058,28,-10.458853875059411,0,0.0,0.0,0.0,1,-0.0
4,8.789856910705566,8.707143768668175,0.3902636481449008,20,-19.028264454780363,0,0.0,0.0,0.0,1,-0.0
7,8.385274887084961,8.31341677904129,0.30574373129223076,28,-12.303373193955363,0,0.0,0.0,0.0,1,-0.0
4,8.553056716918945,8.34755326807499,0.5731678146582383,13,-17.529372441241726,0,0.0,0.0,0.0,1,-0.0
6,8.466361999511719,8.44642592035234,0.33438738619654695,22,-12.469389087607805,0,0.0,0.0,0.0,1,-0.0
3,9.189613342285156,9.115316301584244,0.32686152228194737,23,-15.055902865750586,0,0.0,0.0,0.0,1,-0.0
5,9.083977699279785,9.020434588193893,0.3488901224495335,22,-15.066853866506069,0,0.0,0.0,0.0,1,-0.0
7,8.56797981262207,8.532298535108566,0.3632912309030476,23,-13.321854328927133,0,0.0,0.0,0.0,1,-0.0
6,8.532387733459473,8.437425211071968,0.3978815429350909,17,-14.035175817841138,0,0.0,0.0,0.0,1,-0.0
3,8.12559986114502,8.045069769024849,0.24971317698213238,27,-9.995140366823055,0,0.0,0.0,0.0,1,-0.0
4,9.035700798034668,8.918837510049343,0.3508105096830563,22,-14.567048013216105,0,0.0,0.0,0.0,1,-0.0
3,8.623342514038086,8.489781036973,0.45689232055755225,17,-16.898631692263063,2,0.038236916065216064,0.038236916065216064,0.530533641576767,1,0.12480352895451367
4,8.24125862121582,8.186192750930786,0.256032198268388,28,-10.016557558712346,0,0.0,0.0,0.0,1,-0.0
8,7.580180644989014,7.515053555369377,0.27376583861487525,31,-6.646465188431925,0,0.0,0.0,0.0,1,-0.0
3,8.287574768066406,8.203653082251549,0.24389925453191003,30,-9.148045400871705,0,0.0,0.0,0.0,1,-0.0
7,7.857583522796631,7.812836356461048,0.2822711621861785,31,-8.176099861969671,1,0.22967448830604553,0.0,0.3630013782531023,1,-0.0
5,8.371752738952637,8.347701439633965,0.2727205317782899,31,-9.467606398562827,2,0.02944338321685791,0.012714415788650513,0.493105448782444,2,0.17222808834977266
6,8.515616416931152,8.221387475728989,0.6017771400511265,12,-16.441206147720834,0,0.0,0.0,0.0,1,-0.0
5,8.28052043914795,8.115113228559494,0.46774165003615265,17,-15.873164016051543,2,0.10933446884155273,0.0982927680015564,0.551761398712794,3,0.3403832356782991
9,8.087230682373047,7.977984227240086,0.30749162698962856,28,-8.754697034526538,8,0.26982176303863525,0.21753078699111938,0.7053571715950966,4,0.7508310202060811
7,8.251944541931152,8.157782576978207,0.375616636670505,24,-14.891071902358245,2,0.08909699320793152,0.0,0.43997972706953686,3,0.2513758758773994
6,8.376632690429688,8.302821584045887,0.30282911751419306,24,-11.497095931661924,0,0.0,0.0,0.0,1,-0.0
3,8.121087074279785,8.074017345905304,0.228692244569009,33,-7.98933712155824,0,0.0,0.0,0.0,1,-0.0
6,7.787981986999512,7.697282195091248,0.26508717096465473,34,-6.431677571529615,0,0.0,0.0,0.0,1,-0.0
5,8.505640983581543,8.391577504575253,0.30232974528162565,27,-11.364855852863647,0,0.0,0.0,0.0,1,-0.0
5,8.647662162780762,8.537325881421566,0.44252100586891174,16,-15.284283210530976,0,0.0,0.0,0.0,1,-0.0
4,8.990347862243652,8.918362878262997,0.38529091626405715,20,-16.681510330156563,0,0.0,0.0,0.0,1,-0.0
5,8.919054985046387,8.732335656881332,0.5465611055493355,15,-19.17616685265256,0,0.0,0.0,0.0,1,-0.0
6,8.053178787231445,7.939662203192711,0.3410898321731524,22,-10.496711927616577,0,0.0,0.0,0.0,1,-0.0
5,8.27769660949707,8.19484443217516,0.2557643814943731,32,-8.349238794404366,0,0.0,0.0,0.0,1,-0.0
5,9.069741249084473,8.815017729997635,0.5257197562605143,14,-17.031688191885152,0,0.0,0.0,0.0,1,-0.0
4,8.248698234558105,8.215411685407162,0.23101172619499266,32,-8.861650905605991,0,0.0,0.0,0.0,1,-0.0
6,8.353185653686523,8.2640967592597,0.5065623109361955,14,-15.389408359795873,0,0.0,0.0,0.0,1,-0.0
5,8.737791061401367,8.695681035518646,0.293774217653733,26,-12.826949968489362,0,0.0,0.0,0.0,1,-0.0
5,9.110408782958984,8.965671062469482,0.39033678714185954,20,-15.355992098493818,0,0.0,0.0,0.0,1,-0.0
7,8.391114234924316,8.349851042032242,0.31255123325778794,24,-11.635640559422907,0,0.0,0.0,0.0,1,-0.0
3,8.406847953796387,8.308974847197533,0.27012972777279526,26,-10.555618196060598,0,0.0,0.0,0.0,1,-0.0
5,8.408853530883789,8.339875176548958,0.2433226859617618,31,-9.398257061664353,0,0.0,0.0,0.0,1,-0.0
4,8.650614738464355,8.475219383835793,0.43505380116403103,16,-14.268291970950408,0,0.0,0.0,0.0,1,-0.0
9,9.081836700439453,9.009217761456966,0.31073830196900026,28,-12.414138976037313,4,0.07780382037162781,0.04484376311302185,0.5472142323851585,4,0.6267692303250442
5,8.298611640930176,8.212792232632637,0.3189431624891965,23,-11.41536400447145,0,0.0,0.0,0.0,1,-0.0
6,8.513002395629883,8.469961781054735,0.4075801971025373,19,-14.837668645516281,0,0.0,0.0,0.0,1,-0.0
3,8.372905731201172,8.307506158947945,0.2613170637438695,30,-9.04898665004474,0,0.0,0.0,0.0,1,-0.0
6,8.461493492126465,8.402669914066792,0.33635600392396253,24,-11.63438835786429,0,0.0,0.0,0.0,1,-0.0
6,8.136996269226074,8.081363923847675,0.28894697362557054,28,-9.055373194590572,0,0.0,0.0,0.0,1,-0.0
7,8.414504051208496,8.307207696139812,0.48170535564422606,15,-14.686395704192364,0,0.0,0.0,0.0,1,-0.0
6,8.462535858154297,8.385777235031128,0.4039977746084332,20,-12.622452051370335,0,0.0,0.0,0.0,1,-0.0
4,8.640521049499512,8.594417590647936,0.2495646096067503,32,-9.774641792722026,0,0.0,0.0,0.0,1,-0.0
3,7.995396614074707,7.838542178273201,0.30359891802072525,24,-9.098608048924604,0,0.0,0.0,0.0,1,-0.0
5,8.704962730407715,8.619972139596939,0.43851063563488424,16,-15.499566204592949,0,0.0,0.0,0.0,1,-0.0
6,8.766271591186523,8.707808271050453,0.5080632931951966,14,-16.9426846976961,0,0.0,0.0,0.0,1,-0.0
4,8.65977954864502,8.637585742399096,0.2647500938318413,29,-12.405130981385867,0,0.0,0.0,0.0,1,-0.0
4,8.857810974121094,8.707537204027176,0.32359211534261706,25,-11.915734464812466,2,0.020990967750549316,0.01451835036277771,0.5033893808722496,2,0.1137251485565765
5,9.05030345916748,8.99355436488986,0.34668784198306857,21,-16.549665150523193,0,0.0,0.0,0.0,1,-0.0
