Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
15,8.805731773376465,8.297123968601227,1.2511320170015097,16,-55.020513160261736,0,0.0,0.0,0.0,1,-0.0
32,4.597409248352051,4.559912670403719,0.39531775028444827,64,-11.787974282679839,6,0.1703782081604004,0.05337810516357422,1.6217358509699504,3,0.8188542273321429
14,9.6255521774292,8.666340827941895,1.5210767771516527,14,-61.17547471321952,2,0.3731651306152344,0.3731651306152344,5.799725532531738,1,0.367841649262425
13,6.127293109893799,4.769146203994751,1.5309618243149348,14,-58.1839775695966,2,1.1134052276611328,1.1134052276611328,9.209802627563477,1,-0.11960543228106185
30,4.168342590332031,3.7305997908115387,0.7320917178602779,34,-27.585150468995156,4,0.8301949501037598,0.0,3.6299988627433777,2,0.5191461581810027
21,7.336123466491699,6.772423207759857,1.0412321297282523,22,-49.96674802663398,4,0.5153985023498535,0.3986995220184326,4.151412546634674,2,0.5923015868593411
38,5.249065399169922,5.104921966791153,0.4948250383746867,49,-13.706948858490671,8,0.9424316883087158,0.0,2.6391605138778687,4,0.909905068299854
13,11.609108924865723,11.3615552932024,1.1963652134872973,16,-54.7800065114447,0,0.0,0.0,0.0,1,-0.0
7,16.491209030151367,15.89070451259613,2.4312930777668953,8,-86.42042027547497,0,0.0,0.0,0.0,1,-0.0
31,11.273953437805176,11.142658591270447,0.6292605478679989,41,-37.906786369887435,12,0.23460018634796143,0.0,2.071438660224279,6,1.3597995975223645
14,7.764761924743652,7.394581168889999,1.260320751106038,17,-61.989014274009584,4,0.38488101959228516,0.31092965602874756,4.249627381563187,2,0.5600875522930571
6,17.49127960205078,17.19851404428482,2.353398794308305,8,-88.6460655415937,0,0.0,0.0,0.0,1,-0.0
28,5.520350456237793,5.2367152869701385,0.7006145385093987,32,-30.487133375397416,4,0.16624164581298828,0.0,2.086528480052948,2,0.3954240667347812
36,3.2259435653686523,2.888546407222748,0.7182629555463791,38,-28.243155404453542,16,1.1944725513458252,0.0,2.6480349749326706,8,1.1286573093273833
30,4.851876735687256,4.632253393530846,0.6004986953186361,38,-23.01806886348187,8,0.6207194328308105,0.5945158004760742,3.0262631475925446,4,0.8434998462652336
7,14.979595184326172,13.458160519599915,2.9389760494232178,7,-91.93799897304915,0,0.0,0.0,0.0,1,-0.0
9,13.196041107177734,11.349086165428162,2.3195848796102734,9,-79.18928648383009,0,0.0,0.0,0.0,1,-0.0
15,17.224227905273438,15.97758686542511,1.6544911483923594,15,-88.22213382223117,4,0.14223122596740723,0.0,3.462514340877533,2,0.44638409225289266
22,6.557732105255127,6.308985784649849,0.9113694165761654,26,-47.69626964239142,6,0.2931022644042969,0.0,3.652141809463501,3,0.8216399518719998
10,17.3682918548584,16.559812128543854,2.214856931567192,10,-95.57533156272822,0,0.0,0.0,0.0,1,-0.0
20,6.76292085647583,5.9814324378967285,1.0768609032034875,20,-44.63576766259577,0,0.0,0.0,0.0,1,-0.0
7,17.116079330444336,15.364477753639221,2.6891360453196933,7,-81.44533832398254,0,0.0,0.0,0.0,1,-0.0
30,4.864933967590332,4.242509484291077,0.7780488838752111,30,-31.33107942214052,8,0.4431495666503906,0.0,3.573295623064041,4,1.0703854628585634
9,9.408526420593262,6.860246181488037,2.159794661733839,9,-67.20806133339059,2,0.905156135559082,0.905156135559082,10.775319576263428,1,0.09019683980726928
10,17.751279830932617,16.721945762634277,1.8653845692222768,11,-80.93085117332961,0,0.0,0.0,0.0,1,-0.0
26,7.353896141052246,7.322639912366867,0.3303541635482836,67,-9.128328849767227,10,0.32941627502441406,0.0,3.0154237389564513,5,1.0374522490316682
37,3.3125979900360107,3.0933189392089844,0.6239345817025318,43,-22.104506864138123,12,0.8732728958129883,0.0,2.293116718530655,6,1.4537764742268138
10,12.923317909240723,11.573593258857727,1.9699420273303985,10,-70.39627106536723,0,0.0,0.0,0.0,1,-0.0
43,9.30202865600586,9.177351988852024,0.4017183777522033,71,-14.785269876741701,14,0.29348504543304443,0.24528145790100098,1.193971927676882,7,1.6585004761291349
10,10.714210510253906,9.230603575706482,1.9236294776201248,10,-66.6163395518466,0,0.0,0.0,0.0,1,-0.0
37,6.327239990234375,6.150480926036835,0.5395628118924066,51,-24.661493448952754,14,0.6381282806396484,0.6331138610839844,2.6016122358185902,7,1.5931881226016138
28,9.798918724060059,9.626020148396492,0.6258789170001234,35,-31.628910371857067,4,0.3549405336380005,0.0,1.6736497282981873,2,0.7053836410273506
43,6.854610919952393,6.66390173137188,0.491039431343476,60,-15.943903042801848,8,0.1560978889465332,0.017836928367614746,2.066400483250618,4,0.6285346574003536
7,10.052464485168457,5.20338249206543,2.9688363075256348,7,-81.9301822744523,0,0.0,0.0,0.0,1,-0.0
35,2.927222967147827,2.8392632231116295,0.3298622560982086,79,2.4171476452065113,11,0.3414449691772461,0.1529843807220459,0.8758880645036697,6,1.0976648964888547
