Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
13,7.114686965942383,6.530491352081299,1.3996911783303534,14,-52.10276114417418,0,0.0,0.0,0.0,1,-0.0
7,17.67524528503418,16.32411026954651,2.361935159191489,8,-83.06419838798656,0,0.0,0.0,0.0,1,-0.0
15,12.331836700439453,11.924851149320602,1.3742408235283459,17,-72.42871420609315,2,0.33620667457580566,0.33620667457580566,1.6632941961288452,1,0.36647509417517166
25,4.587650775909424,4.349806874990463,0.7950823944190453,29,-32.72789829393695,2,0.4110374450683594,0.4110374450683594,2.5798935890197754,1,0.36544145636392744
9,9.150100708007812,8.46996259689331,1.936001753807068,10,-67.96239402873093,0,0.0,0.0,0.0,1,-0.0
15,8.636922836303711,8.432358011603355,1.126302199645175,18,-55.279837629080475,0,0.0,0.0,0.0,1,-0.0
11,7.061471462249756,6.753977566957474,1.4226149744712389,13,-52.621051701417045,2,0.3213632106781006,0.3213632106781006,2.3353649377822876,1,0.364806149276995
19,6.957605361938477,6.583413779735565,0.9303619804836455,21,-37.03111067263714,4,0.41858386993408203,0.26893341541290283,4.948313146829605,2,0.6487894904760512
13,11.814377784729004,10.19997227191925,1.9980604648590088,13,-87.73347614977041,2,0.010126113891601562,0.010126113891601562,10.214004516601562,1,0.04650557188832613
12,11.039224624633789,10.027376294136047,1.6646943877522762,13,-67.81542850312213,0,0.0,0.0,0.0,1,-0.0
18,5.147712230682373,4.714409410953522,0.9953871719539166,20,-38.57032860447971,2,0.45377588272094727,0.45377588272094727,4.507094621658325,1,0.35855185457879213
19,10.1846284866333,9.896266281604767,0.7866252528933378,26,-38.06270170755007,4,0.13646650314331055,0.0,2.8450968265533447,2,0.3916606956144739
17,7.1035003662109375,6.481149196624756,1.2500626287526555,18,-54.99684840467513,4,0.30667877197265625,0.0,6.971210360527039,2,0.4408595351431288
13,10.383883476257324,10.050862491130829,1.24930735429128,15,-57.641597250120164,0,0.0,0.0,0.0,1,-0.0
12,9.9227933883667,9.610754072666168,1.3222768727157796,14,-54.17300532538499,0,0.0,0.0,0.0,1,-0.0
11,9.281299591064453,9.021993339061737,1.8806899935007095,13,-85.51595463194485,2,0.32856273651123047,0.32856273651123047,3.1809139251708984,1,0.3656993547270903
11,15.3899507522583,15.111651927232742,1.5945929552500064,13,-76.68798056223733,0,0.0,0.0,0.0,1,-0.0
18,13.2892484664917,12.943971127271652,1.0311328435227984,21,-54.71463649616967,2,0.42144298553466797,0.42144298553466797,5.403053283691406,1,0.36415656758761317
