Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
14,15.112971305847168,14.415010631084442,1.4613431245088577,14,-64.26952193825352,0,0.0,0.0,0.0,1,-0.0
8,16.80777931213379,15.587627291679382,2.1375911608338356,8,-70.71926104827531,0,0.0,0.0,0.0,1,-0.0
13,15.362628936767578,15.143026053905487,0.9998774397022584,17,-52.53930236146408,0,0.0,0.0,0.0,1,-0.0
23,13.934577941894531,13.71009635925293,0.7399706180239546,29,-52.698820144646135,6,0.6383844614028931,0.0,1.3519406119982402,3,0.7328900757028732
10,9.896817207336426,8.744433641433716,1.8987789690494536,10,-64.9596011142696,0,0.0,0.0,0.0,1,-0.0
14,11.859526634216309,11.651668772101402,0.9633784004383616,18,-45.802517918622286,0,0.0,0.0,0.0,1,-0.0
13,9.295049667358398,7.85507607460022,1.39766342823322,13,-48.95912096070772,0,0.0,0.0,0.0,1,-0.0
20,5.225900650024414,4.702625393867493,0.8047480863474664,21,-24.30898695224944,2,0.3246551752090454,0.3246551752090454,1.932867705821991,1,0.36523436414818766
13,14.113001823425293,13.129166543483734,1.5676459394968474,13,-65.73071421723552,0,0.0,0.0,0.0,1,-0.0
13,14.226401329040527,13.655747294425964,1.3202221668683565,13,-55.90934985793731,0,0.0,0.0,0.0,1,-0.0
19,13.644487380981445,12.869664549827576,1.0978475123643876,20,-54.2935264428822,2,0.0004799365997314453,0.0004799365997314453,2.8860057592391968,1,0.003667606546648617
19,13.039508819580078,12.683087050914764,0.6741456449604951,26,-36.14301310898165,2,0.1950232982635498,0.1950232982635498,2.1770375967025757,1,0.3187921526958874
16,7.750595569610596,7.416081726551056,1.2475532930758264,18,-55.852295259284105,4,1.4163599014282227,0.9426045417785645,6.415045261383057,2,-0.13909523012999725
14,15.054834365844727,14.53346598148346,1.1868459949890773,15,-56.12916001684053,0,0.0,0.0,0.0,1,-0.0
13,14.290802955627441,13.620489776134491,1.444756812282971,14,-63.31225622718934,0,0.0,0.0,0.0,1,-0.0
13,15.543927192687988,14.508976221084595,1.607305721594737,13,-72.38030253345406,0,0.0,0.0,0.0,1,-0.0
