Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
6,8.790099143981934,8.709957621991634,0.5730189646904668,12,-17.37892158569422,0,0.0,0.0,0.0,1,-0.0
5,9.246843338012695,8.457055449485779,1.161774051686128,6,-21.997172477576196,0,0.0,0.0,0.0,1,-0.0
7,8.593461036682129,8.453713417053223,0.5178204009930293,15,-15.59765544006704,2,0.05456268787384033,0.05456268787384033,1.5436236262321472,1,0.15869039424087272
8,8.392644882202148,8.355083715170622,0.3009123590740341,27,-10.562467218414056,2,0.03781670331954956,0.03781670331954956,0.5640817582607269,1,0.12384986918093639
5,8.999518394470215,8.626530438661575,0.8979108789935708,8,-20.89487533799685,0,0.0,0.0,0.0,1,-0.0
6,8.673469543457031,8.58227102458477,0.4468932293821126,16,-15.280449017201445,0,0.0,0.0,0.0,1,-0.0
5,8.860040664672852,8.589864820241928,0.6694608141075481,11,-18.699984237470158,0,0.0,0.0,0.0,1,-0.0
7,7.9306206703186035,7.762503534555435,0.4214953743901692,19,-12.503710385063167,2,0.09338057041168213,0.07319855690002441,0.8731308281421661,2,0.30018171578900393
7,8.679727554321289,8.356739163398743,0.6684271544218063,11,-17.27115047013275,0,0.0,0.0,0.0,1,-0.0
7,8.35918140411377,8.082717090845108,0.652392793785442,11,-16.565212098821192,0,0.0,0.0,0.0,1,-0.0
6,8.542777061462402,8.426845297217369,0.41629763258000213,18,-13.907511736050516,0,0.0,0.0,0.0,1,-0.0
4,8.552647590637207,8.45088266581297,0.2855781742930412,25,-11.474754581566586,0,0.0,0.0,0.0,1,-0.0
6,8.861580848693848,8.741453610360622,0.4473218750208616,16,-15.359860063151817,0,0.0,0.0,0.0,1,-0.0
6,8.865782737731934,8.64985540509224,0.5499299650008862,13,-16.42928889607452,0,0.0,0.0,0.0,1,-0.0
4,9.048646926879883,8.93045450001955,0.5969589964176217,12,-20.138923696480276,0,0.0,0.0,0.0,1,-0.0
5,8.789597511291504,8.57130515575409,0.6581032005223361,11,-18.292394291243735,0,0.0,0.0,0.0,1,-0.0
6,8.832571983337402,8.6920957416296,0.6610481593419205,11,-18.648525605554834,0,0.0,0.0,0.0,1,-0.0
6,8.409770011901855,8.329130098223686,0.3981504798349407,18,-13.460110440385137,0,0.0,0.0,0.0,1,-0.0
5,8.706979751586914,8.530894622206688,0.441855427576229,16,-15.373088644762177,0,0.0,0.0,0.0,1,-0.0
7,8.515398025512695,8.382488459348679,0.35693010345101356,25,-11.428941746926169,2,0.2791377902030945,0.2791377902030945,0.7765496075153351,1,0.35619370657275284
7,8.515398979187012,8.382485836744308,0.3569303923845291,25,-11.428954180886876,2,0.27913397550582886,0.27913397550582886,0.7765506207942963,1,0.35619265350047036
7,8.515398025512695,8.382488623261452,0.35693035513162613,25,-11.42895049611885,2,0.2791457176208496,0.2791457176208496,0.7765488624572754,1,0.3561958948218546
7,8.515398979187012,8.38248886168003,0.35693053022027016,25,-11.428951830170995,2,0.27913355827331543,0.27913355827331543,0.7765516638755798,1,0.3561925383175267
7,8.515398979187012,8.382488176226616,0.35693024188280104,25,-11.428949698986571,2,0.27913492918014526,0.27913492918014526,0.7765501439571381,1,0.3561929167734284
15,6.697251796722412,6.610535457730293,0.2507607895274495,43,-0.6815976996464865,8,0.4859582185745239,0.4686604142189026,0.8428589776158333,4,0.9934124215015743
15,6.697251796722412,6.6105354726314545,0.25076073979915575,43,-0.6815975798631797,8,0.485958456993103,0.4686601758003235,0.8428590521216393,4,0.9934137248489499
15,6.697251796722412,6.610535494983196,0.2507607785248479,43,-0.6815975251780237,8,0.4859582185745239,0.4686603546142578,0.8428590446710587,4,0.9934126960692519
15,6.697251319885254,6.610535085201263,0.2507607425714648,43,-0.6815991516284416,8,0.48595672845840454,0.4686585068702698,0.8428591936826706,4,0.993414033987859
15,6.697251796722412,6.610535465180874,0.25076076050483903,43,-0.6815975305293254,8,0.4859582185745239,0.46866005659103394,0.8428590297698975,4,0.9934135175121755
7,8.82849407196045,8.588072657585144,0.4409346530834834,18,-14.584050634806507,2,0.032575011253356934,0.024158120155334473,0.5671100169420242,2,0.1517554942574128
7,8.74399471282959,8.666263818740845,0.37148205660993144,21,-13.258914453590595,0,0.0,0.0,0.0,1,-0.0
7,8.743995666503906,8.666263364255428,0.37148202228404226,21,-13.258902094246926,0,0.0,0.0,0.0,1,-0.0
7,8.74399471282959,8.66627001017332,0.3714815439390285,21,-13.258894876439651,0,0.0,0.0,0.0,1,-0.0
7,8.743995666503906,8.666263483464718,0.3714820414426781,21,-13.258905252107644,0,0.0,0.0,0.0,1,-0.0
