Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
2,0.541544497013092,0.4648802652955055,0.11527968824587086,11,2.8269366974885988,2,0.14141154289245605,0.14141154289245605,0.6531791687011719,1,0.2766124174185561
4,0.6432294249534607,0.14494588971138,0.19593901497622332,6,1.4477336952963318,0,0.0,0.0,0.0,1,-0.0
1,0.38435107469558716,0.0,0.0834658643496888,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.32982978224754333,0.0,0.04900033871914881,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.5289425253868103,0.27753040194511414,0.14421263916624916,9,2.8004112953277605,0,0.0,0.0,0.0,1,-0.0
1,0.47069206833839417,0.0,0.07527947364724241,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.45615091919898987,0.0,0.11890907450155778,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.5150781273841858,0.5059182988479733,0.0687382318073004,18,3.841549491901537,0,0.0,0.0,0.0,1,-0.0
1,0.41080838441848755,0.0,0.09782201827814181,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.6104737520217896,0.5528834313154221,0.11676641032099724,10,2.518110373911754,0,0.0,0.0,0.0,1,-0.0
1,0.38275301456451416,0.0,0.07240315104889519,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.34726253151893616,0.0,0.05816183603145992,1,-0.0,1,0.07243171334266663,0.0,0.21833606685201326,1,-0.0
2,0.5004244446754456,0.46308671310544014,0.07156857863689463,15,3.0257842766356093,0,0.0,0.0,0.0,1,-0.0
2,0.5648605227470398,0.5232539772987366,0.09206384451438983,12,2.8388351108855874,0,0.0,0.0,0.0,1,-0.0
1,0.44221067428588867,0.0,0.09729259088635445,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.4824146032333374,0.0,0.10845794460990212,1,-0.0,2,0.09101223945617676,0.09101223945617676,0.6629059910774231,1,0.2181346116158681
1,0.4871983230113983,0.0,0.11815255033698949,1,-0.0,2,0.009594857692718506,0.009594857692718506,0.51858189702034,1,0.04458277464323958
1,0.31105831265449524,0.0,0.0651018399745226,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.43065765500068665,0.0,0.0758794757227103,1,-0.0,2,0.07072758674621582,0.07072758674621582,0.536817193031311,1,0.18735168982672384
1,0.4746726155281067,0.0,0.05035442552928414,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.4731612801551819,0.0,0.048079369716684923,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.47245651483535767,0.0,0.04800914429043504,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.473073810338974,0.0,0.05033638035612447,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.47359737753868103,0.0,0.05032226283635412,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.6794784069061279,0.6794784031808376,0.033860293141545296,35,3.973711689431112,0,0.0,0.0,0.0,1,-0.0
2,0.6794846057891846,0.6743754567578435,0.03485311789187293,34,3.9731905662770424,0,0.0,0.0,0.0,1,-0.0
2,0.6794828176498413,0.6741364621557295,0.03591022926918937,33,3.9733553658015537,0,0.0,0.0,0.0,1,-0.0
2,0.679486870765686,0.6743670683354139,0.034852097865522784,34,3.9731151758455208,0,0.0,0.0,0.0,1,-0.0
2,0.67948317527771,0.674131185747683,0.035909181467793656,33,3.973282544918159,0,0.0,0.0,0.0,1,-0.0
1,0.3742329776287079,0.0,0.0707060743451995,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.4061371684074402,0.0,0.07093852814777117,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.4063681364059448,0.0,0.06729538035579026,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.40646305680274963,0.0,0.0709517142049184,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.4065701365470886,0.0,0.07077199286830269,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.40656420588493347,0.0,0.07081123159610127,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.6988398432731628,0.5459729433059692,0.13783077336847782,9,2.4786805860569037,0,0.0,0.0,0.0,1,-0.0
2,0.530272901058197,0.4468621090054512,0.11186580546200275,10,2.6647809866220005,0,0.0,0.0,0.0,1,-0.0
2,0.5265896916389465,0.4959069024771452,0.07824929943308234,16,3.5794607507056617,4,0.05618685483932495,0.0,0.5663796812295914,2,0.18747076971384002
1,0.463525652885437,0.0,0.08969368040561676,1,-0.0,2,0.0026270151138305664,0.0026270151138305664,0.5495305061340332,1,0.015609479433457014
1,0.4466775953769684,0.0,0.12704230099916458,1,-0.0,2,0.04087859392166138,0.04087859392166138,0.5632714927196503,1,0.13069494449753108
2,0.6263290643692017,0.304953932762146,0.1640602257102728,8,2.4009758747898218,0,0.0,0.0,0.0,1,-0.0
2,0.6961087584495544,0.5121117830276489,0.15864383522421122,8,2.2616696245469106,4,0.015445888042449951,0.00684744119644165,0.7553084641695023,2,0.10531143037977977
2,0.6800670027732849,0.5973900780081749,0.11035685299430043,10,2.2908515032815924,0,0.0,0.0,0.0,1,-0.0
2,0.6108593940734863,0.37334518134593964,0.12418723727265994,9,2.570042665332671,0,0.0,0.0,0.0,1,-0.0
2,0.6066760420799255,0.5957430014386773,0.06177010128161106,19,3.0948325175769478,0,0.0,0.0,0.0,1,-0.0
2,0.5091321468353271,0.48325964622199535,0.07028261720552109,16,3.143963130018262,0,0.0,0.0,0.0,1,-0.0
2,0.681511640548706,0.6060248836874962,0.08615765281553779,14,3.4493501623943215,0,0.0,0.0,0.0,1,-0.0
1,0.3672090470790863,0.0,0.08739186608447479,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.4143853783607483,0.0,0.10741398064419627,1,-0.0,0,0.0,0.0,0.0,1,-0.0
3,0.5369920134544373,0.43359894305467606,0.13290909636351797,9,2.4544967354032265,2,0.18954288959503174,0.18954288959503174,0.7621169686317444,1,0.31523635177687465
1,0.3018719553947449,0.0,0.07514856594304244,1,-0.0,0,0.0,0.0,0.0,1,-0.0
3,0.5884718298912048,0.5075968578457832,0.11727488481185654,11,3.0000046369553015,0,0.0,0.0,0.0,1,-0.0
1,0.40372538566589355,0.0,0.14434191005097496,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.610440194606781,0.4562840014696121,0.13286607712507248,9,2.561756763055065,0,0.0,0.0,0.0,1,-0.0
5,0.7229599952697754,0.19577443599700928,0.2258776972691218,6,1.5507781304932875,2,0.08433669805526733,0.08433669805526733,0.6861729919910431,1,0.20855944065034532
2,0.5479669570922852,0.4708765670657158,0.11854705628421572,9,2.3072826989246464,0,0.0,0.0,0.0,1,-0.0
3,0.5895115733146667,0.4430108666419983,0.12137323783503638,9,2.413560126550671,0,0.0,0.0,0.0,1,-0.0
3,0.5895115733146667,0.4430108666419983,0.12137323783503638,9,2.413560126550671,0,0.0,0.0,0.0,1,-0.0
3,0.5895115733146667,0.4430108666419983,0.12137323783503638,9,2.413560126550671,0,0.0,0.0,0.0,1,-0.0
3,0.5895115733146667,0.4430108666419983,0.12137323783503638,9,2.413560126550671,0,0.0,0.0,0.0,1,-0.0
3,0.5895115733146667,0.4430108666419983,0.12137323783503638,9,2.413560126550671,0,0.0,0.0,0.0,1,-0.0
2,0.7418636083602905,0.6705658584833145,0.1354299506638199,8,2.013830806212971,0,0.0,0.0,0.0,1,-0.0
2,0.7418636083602905,0.6705658584833145,0.1354299506638199,8,2.013830806212971,0,0.0,0.0,0.0,1,-0.0
2,0.7418636083602905,0.6705658584833145,0.1354299506638199,8,2.013830806212971,0,0.0,0.0,0.0,1,-0.0
2,0.7418636083602905,0.6705658584833145,0.1354299506638199,8,2.013830806212971,0,0.0,0.0,0.0,1,-0.0
2,0.7418636083602905,0.6705658584833145,0.1354299506638199,8,2.013830806212971,0,0.0,0.0,0.0,1,-0.0
2,0.5540534257888794,0.30638134479522705,0.14351305039599538,8,2.349150811931966,0,0.0,0.0,0.0,1,-0.0
2,0.5540534257888794,0.30638134479522705,0.14351305039599538,8,2.349150811931966,0,0.0,0.0,0.0,1,-0.0
2,0.5540534257888794,0.30638134479522705,0.14351305039599538,8,2.349150811931966,0,0.0,0.0,0.0,1,-0.0
2,0.5540534257888794,0.30638134479522705,0.14351305039599538,8,2.349150811931966,0,0.0,0.0,0.0,1,-0.0
2,0.5540534257888794,0.30638134479522705,0.14351305039599538,8,2.349150811931966,0,0.0,0.0,0.0,1,-0.0
3,0.7270855903625488,0.6881439313292503,0.06334235739392424,21,3.8301308134395344,0,0.0,0.0,0.0,1,-0.0
3,0.7261349558830261,0.6878829896450043,0.06333898300571102,21,3.83199625625397,0,0.0,0.0,0.0,1,-0.0
3,0.7262609601020813,0.6839499361813068,0.06651716185733676,20,3.83432738727367,0,0.0,0.0,0.0,1,-0.0
3,0.7262137532234192,0.6841160133481026,0.06652323585003614,20,3.834809588105858,0,0.0,0.0,0.0,1,-0.0
3,0.7260267734527588,0.6883006803691387,0.0633467690246115,21,3.8347799482674167,0,0.0,0.0,0.0,1,-0.0
1,0.38779476284980774,0.0,0.08513025337686905,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.7723706364631653,0.5219166278839111,0.1630385262625558,7,1.9652639717445701,0,0.0,0.0,0.0,1,-0.0
2,0.7723706364631653,0.5219166278839111,0.1630385262625558,7,1.9652639717445701,0,0.0,0.0,0.0,1,-0.0
2,0.7723706364631653,0.5219166278839111,0.1630385262625558,7,1.9652639717445701,0,0.0,0.0,0.0,1,-0.0
2,0.7723706364631653,0.5219166278839111,0.1630385262625558,7,1.9652639717445701,0,0.0,0.0,0.0,1,-0.0
2,0.7723706364631653,0.5219166278839111,0.1630385262625558,7,1.9652639717445701,0,0.0,0.0,0.0,1,-0.0
2,0.5365117192268372,0.4373020678758621,0.11314954320815476,11,2.959866830367763,0,0.0,0.0,0.0,1,-0.0
2,0.5626457333564758,0.5571998385712504,0.06349801423265486,19,3.071982118086025,0,0.0,0.0,0.0,1,-0.0
2,0.5626486539840698,0.5572264241054654,0.06349451865201199,19,3.0712348494456787,0,0.0,0.0,0.0,1,-0.0
2,0.5626173615455627,0.5572238517925143,0.06350279016894995,19,3.072365496416042,0,0.0,0.0,0.0,1,-0.0
2,0.5626235604286194,0.5535252476111054,0.06703137611556384,18,3.0724658154557183,0,0.0,0.0,0.0,1,-0.0
2,0.5626111626625061,0.5534412078559399,0.06702618586779055,18,3.0720238390752286,0,0.0,0.0,0.0,1,-0.0
1,0.43561580777168274,0.0,0.06917897118803333,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.3232859969139099,0.0,0.06329702811781317,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.7869424223899841,0.776683434844017,0.05208261924174925,21,3.2163155716890772,0,0.0,0.0,0.0,1,-0.0
3,0.7205387949943542,0.3439575433731079,0.1957292010386785,6,1.6837128450410395,0,0.0,0.0,0.0,1,-0.0
1,0.4590802490711212,0.0,0.1526779996024238,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.5349199175834656,0.42621224373579025,0.12118258234113455,9,2.390886142432645,0,0.0,0.0,0.0,1,-0.0
2,0.9031477570533752,0.8948169583454728,0.03588429536404354,35,4.236544995626305,0,0.0,0.0,0.0,1,-0.0
2,0.5850608348846436,0.5497763976454735,0.07767852352311214,15,3.132134716845343,0,0.0,0.0,0.0,1,-0.0
1,0.44017791748046875,0.0,0.08120863159586277,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.4149312376976013,0.0,0.08527692354151181,1,-0.0,2,0.009610235691070557,0.009610235691070557,0.5803070962429047,1,0.04463883862768569
1,0.4143139719963074,0.0,0.08528965551938329,1,-0.0,2,0.008105337619781494,0.008105337619781494,0.5802178084850311,1,0.03902908477833862
1,0.4150317311286926,0.0,0.08530333944197212,1,-0.0,2,0.008204936981201172,0.008204936981201172,0.579422116279602,1,0.03940847004271878
1,0.41508492827415466,0.0,0.0852452443380441,1,-0.0,2,0.009821414947509766,0.009821414947509766,0.5811474323272705,1,0.04540626804367492
1,0.4149373173713684,0.0,0.08531819749623537,1,-0.0,2,0.010793983936309814,0.010793983936309814,0.581012099981308,1,0.04888343105755938
2,0.7341678738594055,0.6998054012656212,0.06963909515697095,18,3.3580203806098927,0,0.0,0.0,0.0,1,-0.0
2,0.7342777252197266,0.7102356068789959,0.06575224468469101,19,3.341540457904661,0,0.0,0.0,0.0,1,-0.0
2,0.7467215657234192,0.7313500856980681,0.06903997112789916,18,3.2278937808415886,0,0.0,0.0,0.0,1,-0.0
2,0.7432712912559509,0.7110830247402191,0.06966602274527152,18,3.3232251579078307,0,0.0,0.0,0.0,1,-0.0
2,0.7404914498329163,0.7129070963710546,0.06946015430407391,18,3.34148508481215,0,0.0,0.0,0.0,1,-0.0
1,0.4714605212211609,0.0,0.08931047686686118,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.7739105224609375,0.7600214146077633,0.047847876001493005,24,3.6497127459099485,0,0.0,0.0,0.0,1,-0.0
1,0.3997023403644562,0.0,0.04087447914881287,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.3996845781803131,0.0,0.040864571963471395,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.3997713029384613,0.0,0.03942657400953716,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.3996874988079071,0.0,0.03941484984432394,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.3996242880821228,0.0,0.04087758147054248,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.5015822052955627,0.42987681180238724,0.0824423214154584,14,3.3550168033691636,0,0.0,0.0,0.0,1,-0.0
3,0.7038620114326477,0.6861173622310162,0.07968940898175667,16,3.3247880306085644,0,0.0,0.0,0.0,1,-0.0
1,0.3922048509120941,0.0,0.07951885424554347,1,-0.0,1,0.13905075192451477,0.0,0.4862990826368332,1,-0.0
2,0.5010369420051575,0.48466991633176804,0.05409060465171933,24,4.494726675438271,0,0.0,0.0,0.0,1,-0.0
3,0.5744988918304443,0.43054255843162537,0.14672074129339308,8,2.073869956691917,0,0.0,0.0,0.0,1,-0.0
2,0.5287603735923767,0.43136896938085556,0.11630877821395795,12,3.2833044886074525,1,0.04310810565948486,0.0,0.4899686574935913,1,-0.0
1,0.39213791489601135,0.0,0.07404834986664355,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.33556702733039856,0.0,0.07406883204684538,1,-0.0,1,0.1708325445652008,0.0,0.49915091693401337,1,-0.0
1,0.4270424246788025,0.0,0.10792540047656406,1,-0.0,1,0.08487719297409058,0.0,0.4800569713115692,1,-0.0
3,0.6584508419036865,0.36929774284362793,0.18077749013900757,7,1.99804142955667,2,0.05394327640533447,0.05394327640533447,0.7037890553474426,1,0.15750477704620436
4,0.6356750726699829,0.4285051226615906,0.17120197166999182,6,1.3927181699025262,0,0.0,0.0,0.0,1,-0.0
1,0.4349289536476135,0.0,0.08194249109006845,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.5969027876853943,0.5032953023910522,0.0912601575255394,13,3.2476843641281232,2,0.00971066951751709,0.00971066951751709,0.7065491676330566,1,0.04500438956236649
3,0.9296833276748657,0.9296833171381538,0.07115128512672908,14,1.4949525738124698,0,0.0,0.0,0.0,1,-0.0
3,0.6861541271209717,0.6778120771050453,0.06862189861781456,17,2.7085799893959552,0,0.0,0.0,0.0,1,-0.0
2,0.6086564660072327,0.42883411049842834,0.1453637294471264,8,2.295099960655038,0,0.0,0.0,0.0,1,-0.0
1,0.4118269979953766,0.0,0.06613585314549067,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.8893722891807556,0.8648097887635231,0.08204700348765723,14,2.510712628517579,0,0.0,0.0,0.0,1,-0.0
2,0.9097607731819153,0.8800915814936161,0.09038373548537493,12,2.2841651134936276,0,0.0,0.0,0.0,1,-0.0
3,0.6142542362213135,0.591905290260911,0.11387602777474305,11,2.3386929232815956,2,0.15072184801101685,0.15072184801101685,0.7931918799877167,1,0.285213847807238
1,0.4020046889781952,0.0,0.05830416325479746,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.5649421215057373,0.33779294788837433,0.15068961400538683,8,2.383481716748898,0,0.0,0.0,0.0,1,-0.0
1,0.385301798582077,0.0,0.07433677793425672,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.6203744411468506,0.605127121321857,0.07511363094090484,16,3.023588823821293,0,0.0,0.0,0.0,1,-0.0
2,0.6000915765762329,0.5496674701571465,0.10394919190842372,13,3.517930838432503,0,0.0,0.0,0.0,1,-0.0
1,0.45930275321006775,0.0,0.10308697243983095,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.5888891220092773,0.5328711718320847,0.07569938131115016,17,3.829774757923221,0,0.0,0.0,0.0,1,-0.0
2,0.5789998769760132,0.47113773971796036,0.11806682331694497,9,2.419885002665998,0,0.0,0.0,0.0,1,-0.0
1,0.45176389813423157,0.0,0.09432131781553228,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.41814887523651123,0.0,0.09671097350391475,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.502815842628479,0.4800500087440014,0.06730053514183965,16,3.099096925748941,0,0.0,0.0,0.0,1,-0.0
2,0.5563284158706665,0.5509271081537008,0.06007090621911313,23,4.305810540710838,0,0.0,0.0,0.0,1,-0.0
1,0.37685301899909973,0.0,0.09148728917352855,1,-0.0,0,0.0,0.0,0.0,1,-0.0
2,0.8885744214057922,0.7828362211585045,0.1079602414234118,11,2.6491875425779723,0,0.0,0.0,0.0,1,-0.0
3,0.5988807082176208,0.5630416534841061,0.12095766421407461,9,1.9814069678161483,2,0.11090147495269775,0.11090147495269775,0.7465426921844482,1,0.24388488459989063
1,0.4192945659160614,0.0,0.11626017130911351,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.450977087020874,0.0,0.09651939757168293,1,-0.0,2,0.04582113027572632,0.04582113027572632,0.5725673139095306,1,0.1412669997511671
1,0.31013917922973633,0.0,0.051397069081388136,1,-0.0,0,0.0,0.0,0.0,1,-0.0
1,0.36639684438705444,0.0,0.07283792977354356,1,-0.0,0,0.0,0.0,0.0,1,-0.0
3,0.7652403116226196,0.7170205935835838,0.08743489261430043,13,2.369448514119706,0,0.0,0.0,0.0,1,-0.0
2,0.5176658034324646,0.4542635828256607,0.09649721934245183,13,3.3972658015070603,2,0.07356542348861694,0.05816096067428589,0.4086363762617111,2,0.25625920214199494
