Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
21,100.25586700439453,93.67726850509644,10.536906401316324,21,-1494.5940205781185,2,2.5661163330078125,2.5661163330078125,57.031681060791016,1,-2.4182916130054206
20,121.08586883544922,116.07288885116577,10.488999783992767,20,-1470.1821627220856,0,0.0,0.0,0.0,1,-0.0
21,150.14657592773438,145.0291609764099,9.913635980515252,21,-1490.1551643187279,2,0.2837486267089844,0.2837486267089844,11.715057373046875,1,0.3574286535710094
21,148.5353546142578,143.70080852508545,9.79126909233275,21,-1468.4888481284197,0,0.0,0.0,0.0,1,-0.0
28,44.62358856201172,39.79376459121704,9.240103960037231,28,-1625.8131614084946,6,14.543132781982422,0.0,57.88474464416504,3,-68.72101680588409
28,42.168113708496094,35.7975492477417,9.139661712305886,28,-1589.1681847705877,6,20.138198852539062,0.0,48.77183246612549,3,-80.22508152436356
22,46.098636627197266,36.1468448638916,12.78545448996804,22,-1903.2038054169523,10,12.69919204711914,0.0,46.4982723236084,5,-31.718076352272504
21,49.4654426574707,32.06908416748047,13.437392938704718,21,-1926.7802028483893,12,15.89505386352539,12.019149780273438,49.506680170694985,6,-62.7939751225529
18,161.81423950195312,154.11613178253174,11.816683570543924,18,-1588.9942104019283,2,2.911336898803711,2.911336898803711,20.077692985534668,1,-3.1110906847727517
18,159.43768310546875,154.30464887619019,11.70115018553204,18,-1586.7938915652967,0,0.0,0.0,0.0,1,-0.0
25,108.9330825805664,105.5249285697937,10.33146680355072,25,-1750.5956547011742,4,11.042667388916016,10.986608505249023,33.49570035934448,2,-26.360384550752833
25,108.93968963623047,105.38253116607666,10.280414600372314,25,-1741.2496139258014,2,10.836833953857422,10.836833953857422,45.018381118774414,1,-25.823643035827374
22,80.15463256835938,76.28351521492004,9.687443440610712,22,-1451.948933499362,4,7.9029998779296875,4.3148345947265625,35.362436294555664,2,-20.92180369521574
22,76.00741577148438,72.80082201957703,9.990574928847225,22,-1492.3192112238278,8,5.4882354736328125,0.0,31.68989610671997,4,-9.60127782092077
27,34.81578063964844,28.058560371398926,8.935910107912841,27,-1454.3526260663582,8,6.225223541259766,0.4972114562988281,38.6386284828186,4,-28.381363945485255
28,33.225563049316406,27.5678391456604,8.68649057831083,28,-1466.4192188812683,8,7.409847259521484,2.724079132080078,37.84761834144592,4,-23.816283929890027
28,84.49189758300781,80.48333501815796,10.02196991443634,28,-1836.358807801435,10,7.846914291381836,5.330081939697266,31.42973461151123,5,-31.999997345190437
