Num_0dim,Max_0dim,Max_0dim_Minus_Second,Mean_0dim,betti_curve_0,persistence_entropy_0,Num_1dim,Max_1dim,Max_1dim_Minus_Second,Mean_1dim,betti_curve_1,persistence_entropy_1
19,138.97463989257812,133.50575065612793,11.965692005659404,19,-1646.8207009235607,8,1.76788330078125,0.4563865661621094,28.978643894195557,4,-1.1878030437758902
19,139.22210693359375,133.72504234313965,11.453334344060798,19,-1571.9917085446937,2,1.5384864807128906,1.5384864807128906,34.94980049133301,1,-0.6627786350838551
20,119.80372619628906,111.30142116546631,12.671353077888488,20,-1828.704830883013,4,1.2460365295410156,0.0,48.69870662689209,2,-0.15826007254837307
20,123.63540649414062,114.97193717956543,12.587044942378999,20,-1816.69404893523,4,1.1277236938476562,0.0,48.76908302307129,2,-0.038624598596143325
27,149.46487426757812,146.87827825546265,12.785136951340569,27,-2654.618061480209,6,3.315153121948242,1.605611801147461,32.22776063283285,3,-5.073111822374589
27,149.5828094482422,147.33593153953552,12.631107347982901,27,-2626.236924846328,4,3.332061767578125,0.0,30.309762954711914,2,-3.6522470874840414
21,58.910499572753906,50.83821105957031,12.32181445757548,21,-1764.3877796459806,6,7.688232421875,0.0,36.581590016682945,3,-23.923047867101104
20,58.87862014770508,45.9176082611084,12.882415926456451,20,-1764.8597417997873,6,2.991687774658203,2.1496620178222656,37.48320070902506,3,-3.901227679114043
17,126.87059783935547,122.46546077728271,10.767106105299558,17,-1331.6788040031286,2,2.2819137573242188,2.2819137573242188,40.98701477050781,1,-1.8826118421258975
17,126.92195129394531,120.85761976242065,10.674784765524024,17,-1307.725981993996,0,0.0,0.0,0.0,1,-0.0
24,81.87303161621094,77.74465751647949,9.348128537336985,24,-1435.0200351143433,4,6.332386016845703,6.053714752197266,29.852062225341797,2,-11.331475346656505
24,77.05740356445312,72.97870922088623,9.280804390708605,24,-1416.3751659273148,6,2.3397254943847656,1.8636493682861328,30.96429983774821,3,-1.307144658695781
21,86.05167388916016,78.63771343231201,10.55106554712568,21,-1503.5413854483977,2,3.008930206298828,3.008930206298828,33.676469802856445,1,-3.314591185045384
21,86.05598449707031,79.53586769104004,10.582435687383017,21,-1506.8233544602867,2,0.6192970275878906,0.6192970275878906,46.70285606384277,1,0.29674872424163645
27,58.465118408203125,48.559574127197266,10.703187068303427,27,-1859.5620354703276,8,13.753711700439453,13.393325805664062,43.508824825286865,4,-75.70699903354911
28,58.46760559082031,51.924728870391846,10.60808413369315,28,-1906.5130381757904,6,10.358989715576172,0.0,37.16658846537272,3,-43.546472257598786
27,61.68213653564453,56.32862710952759,9.426511314180162,27,-1622.0472938748767,6,1.8299942016601562,0.7832927703857422,21.56374390920003,3,-2.070767613815502
